East,North,-101_count
558160.991138394,6122282.157197618,36.0
558160.2566941662,6122333.520163543,16.0
558160.6632092732,6122302.532108731,16.0
558160.796857772,6122292.344255406,48.0
558160.4633600783,6122313.143660723,40.0
558160.0624136296,6122343.707222091,36.0
558159.746870637,6122353.892690017,32.0
558159.5525906357,6122364.079748864,24.0
558160.2690797021,6122323.330718963,48.0
558159.4133730704,6122374.692097201,16.0
558159.2067056176,6122395.068601828,24.0
558159.0068568477,6122405.680155259,16.0
558159.3403549229,6122384.8807471385,20.0
558158.6913160423,6122415.865624124,12.0
558158.0849509692,6122457.465238256,40.0
558158.4914678183,6122426.47717787,16.0
558158.1938202347,6122467.656275529,32.0
558158.4790789164,6122436.6666239435,44.0
558158.345429266,6122446.854479399,28.0
558151.5771392931,6122445.067426448,12.0
558151.7825396688,6122434.031378234,4.0
558151.4750557491,6122466.719005823,4.0
558156.0649617362,6122477.393390499,12.0
558151.49299883,6122456.105065405,20.0
558152.3393469935,6122391.581981798,4.0
558152.2552079643,6122402.619619907,4.0
558152.2372670228,6122413.233559526,16.0
558152.4234855438,6122380.544343861,4.0
558152.6523924393,6122358.469863802,8.0
558152.6758983271,6122347.4314311,4.0
558152.5076236161,6122369.506706098,8.0
558152.7600349651,6122336.393793861,12.0
558152.9338747794,6122313.894026005,8.0
558152.9048028068,6122325.356952091,16.0
558152.865184046,6122291.39107771,24.0
558152.9573779815,6122302.855594006,16.0
558153.070582259,6122280.355031939,16.0
558153.2196466024,6122236.626596274,32.0
558152.9963182696,6122258.276578604,12.0
558153.0940832535,6122269.316600473,20.0
558153.1410829021,6122247.239738065,4.0
558153.2982098502,6122226.013454633,8.0
558153.5406891118,6122184.409082074,4.0
558153.371147202,6122174.217253904,12.0
558153.5283290676,6122194.598524536,4.0
558153.3779376784,6122164.452305559,8.0
558153.2801625675,6122153.412285366,12.0
558153.2980867533,6122142.798349719,36.0
558153.5529797985,6122132.612089151,4.0
558143.1837346681,6122095.538786858,4.0
558151.7765699374,6122101.595413087,16.0
558153.3462872187,6122111.381037513,4.0
558135.1570846296,6122101.802037522,8.0
558153.758374176,6122121.576045882,4.0
558137.3276183105,6122112.02010019,12.0
558137.9160791488,6122122.641985856,8.0
558137.8431251467,6122132.830632149,8.0
558137.6681957684,6122164.670848494,16.0
558137.6984041509,6122143.867471162,12.0
558137.5717846294,6122185.897925207,20.0
558137.4988277154,6122196.086572436,12.0
558137.6503073642,6122175.284784304,20.0
558137.5471369904,6122206.276809953,20.0
558137.4135457706,6122216.4646624075,8.0
558137.2014294488,6122237.265656696,48.0
558137.3405874305,6122226.653310072,20.0
558137.9224427115,6122288.647703336,16.0
558137.0072048878,6122247.452714539,28.0
558137.4069782214,6122267.837166573,4.0
558137.7888469342,6122298.83555698,28.0
558137.8135090513,6122278.456669521,8.0
558137.7765148139,6122309.025000939,28.0
558137.0555108804,6122257.642952791,24.0
558137.5588205162,6122330.250491899,24.0
558137.7035502223,6122319.213649964,28.0
558137.4196571712,6122340.862840075,20.0
558137.6498481799,6122351.055464981,4.0
558137.637512608,6122361.244909707,4.0
558137.177289784,6122382.467221907,8.0
558136.9224299904,6122392.653486763,8.0
558137.3826521286,6122371.431174228,8.0
558136.5407427931,6122403.262655586,12.0
558136.0087595728,6122425.3331620395,16.0
558135.675367797,6122446.132572425,40.0
558135.8695954944,6122435.945511678,16.0
558134.5593557927,6122466.497153662,12.0
558135.4260769014,6122455.894344252,16.0
558132.4911785475,6122476.235074668,16.0
558124.4614240496,6122468.912150327,4.0
558124.4131072689,6122458.721909259,36.0
558124.3276016776,6122437.492439598,4.0
558124.5522449912,6122448.109559087,24.0
558124.4790482554,6122416.690644198,24.0
558124.623749605,6122405.653800682,24.0
558124.1635867503,6122426.876115188,16.0
558124.8179506452,6122395.466740207,16.0
558125.4172508322,6122363.632077801,28.0
558125.4544425635,6122374.671305414,4.0
558125.2546752538,6122385.28285954,8.0
558125.6966980108,6122333.066924082,24.0
558125.5631283309,6122343.254778562,20.0
558125.4295585008,6122353.442633194,20.0
558125.9638369204,6122312.69121558,16.0
558125.8908992541,6122322.879864672,8.0
558126.0367741581,6122302.502566626,16.0
558125.9884467048,6122292.312327975,16.0
558126.1855783385,6122258.7741303155,4.0
558126.1015126773,6122269.811766417,20.0
558126.0118812039,6122281.273896597,8.0
558126.3537082274,6122236.698858636,4.0
558126.5646038217,6122225.238319042,8.0
558126.6375373218,6122215.049671365,12.0
558126.9046699683,6122194.673966307,4.0
558126.831737047,6122204.862613687,12.0
558126.8741985031,6122173.8697933955,8.0
558126.7942198676,6122152.215838545,20.0
558126.8864958173,6122163.680351547,4.0
558126.867149621,6122142.027191935,12.0
558127.2678401229,6122111.463637774,16.0
558118.7423359386,6122095.642906888,8.0
558114.9889828725,6122136.776682888,8.0
558114.879981411,6122126.585652209,8.0
558114.7821065834,6122115.545634072,16.0
558114.9767148327,6122146.966124205,4.0
558115.189147903,6122167.772680161,4.0
558115.1768771657,6122177.962121934,12.0
558115.1463480215,6122157.157949949,8.0
558115.2680362494,6122198.767089313,8.0
558115.219675149,6122188.576852468,4.0
558115.2985581682,6122219.571262554,12.0
558115.310832189,6122209.381820168,4.0
558114.8150460883,6122251.832002791,8.0
558114.9485869736,6122241.644149466,8.0
558114.1596167942,6122292.581828055,8.0
558114.4873314623,6122272.206915116,16.0
558113.7657060135,6122313.380440766,24.0
558114.0205112111,6122303.194176047,20.0
558114.2931580009,6122282.39397413,4.0
558113.4930588611,6122334.180643618,12.0
558113.3595171703,6122344.368498308,12.0
558112.8994114492,6122365.590811809,24.0
558112.6941102528,6122376.626860148,8.0
558113.1653440512,6122354.5555583965,4.0
558113.6872320988,6122323.993583833,16.0
558112.4598360049,6122399.125835584,24.0
558112.6100708334,6122387.664498159,12.0
558112.436426287,6122410.164268697,12.0
558112.2917550541,6122421.201112493,72.0
558112.1526479335,6122431.81346246,20.0
558111.8978447783,6122441.999729103,32.0
558111.5701291038,6122462.374647061,32.0
558103.8039505833,6122462.697421346,8.0
558109.4469353495,6122471.687289699,8.0
558111.8249318616,6122452.188380123,28.0
558103.6204769618,6122430.427929789,12.0
558103.8824092201,6122452.0842761425,28.0
558103.9042135244,6122408.778735784,8.0
558103.7595635968,6122419.815579703,12.0
558103.7294740435,6122440.618964542,4.0
558103.9276019015,6122397.740302782,20.0
558104.1946465769,6122377.364591705,24.0
558104.0611243142,6122387.552447168,32.0
558104.267537584,6122367.17594176,12.0
558104.3404281628,6122356.987291976,40.0
558104.6019076928,6122337.036076048,4.0
558104.7476864301,6122316.658777488,12.0
558104.6141656186,6122326.846632062,12.0
558104.4683863025,6122347.2239309205,24.0
558105.5298609537,6122275.486045352,24.0
558105.2021871973,6122295.860958781,20.0
558105.0080343328,6122306.048018411,20.0
558105.3963401911,6122285.673899305,12.0
558105.6027490672,6122265.297396897,20.0
558105.9426766705,6122234.733041721,8.0
558105.8697895638,6122244.921689717,4.0
558106.2041526753,6122214.781829317,16.0
558105.7362693906,6122255.109543232,16.0
558106.0706330851,6122224.969682391,24.0
558106.4890066122,6122183.792187858,16.0
558106.4767547061,6122193.981629767,8.0
558106.5123843404,6122172.753758405,4.0
558106.5357612887,6122161.715329126,8.0
558106.5480110019,6122151.525887692,20.0
558106.6743268772,6122109.495436665,8.0
558106.9046178696,6122119.688056058,4.0
558095.4975752399,6122138.644077729,16.0
558094.5807728122,6122106.78956212,16.0
558095.4135934357,6122149.681712037,4.0
558095.7506144828,6122096.190722997,4.0
558095.4097418791,6122182.37330012,4.0
558095.5132202646,6122192.988824732,12.0
558095.5115129376,6122160.721729996,20.0
558095.4937257089,6122171.335665298,4.0
558095.6222596038,6122203.179855642,4.0
558095.3385830638,6122224.829043597,20.0
558094.8552155303,6122257.089785335,36.0
558094.7161578058,6122267.702133116,4.0
558095.1388927832,6122235.44059638,40.0
558095.4170070798,6122214.2159019755,12.0
558094.9280780426,6122246.901137138,8.0
558094.6432945625,6122277.89078163,4.0
558094.1226498815,6122299.1123000225,36.0
558094.443604194,6122288.50233523,12.0
558093.8678904766,6122309.298565541,12.0
558093.6615309751,6122329.67506945,40.0
558093.7343949924,6122319.486420179,36.0
558093.5213640066,6122349.627874457,24.0
558093.6548603524,6122339.440019389,12.0
558093.3272363058,6122359.814935205,32.0
558093.005174574,6122379.76535765,40.0
558093.0780400137,6122369.576707647,32.0
558092.7259451698,6122410.330514064,16.0
558092.8594424092,6122400.142658103,4.0
558092.9323087062,6122389.9540078025,28.0
558092.447825439,6122431.555214485,4.0
558092.5757605961,6122421.791852212,4.0
558092.193067568,6122441.741481975,16.0
558091.689115433,6122461.689523388,52.0
558092.0651323966,6122451.50484453,16.0
558083.8516438626,6122411.912505389,24.0
558083.7732355915,6122422.525650037,20.0
558083.6592678817,6122454.366673683,44.0
558083.732116212,6122444.178022573,48.0
558083.6948268667,6122433.138794859,28.0
558083.9300516805,6122401.299360904,12.0
558084.1241590818,6122391.112299281,36.0
558084.4144490816,6122359.698155572,8.0
558084.553486446,6122349.085806241,20.0
558084.7653675725,6122328.284807654,16.0
558084.1970047799,6122380.923649093,80.0
558084.6925236479,6122338.473457061,8.0
558084.2754115544,6122370.310505079,24.0
558084.8988428438,6122318.096952747,28.0
558085.287057044,6122297.722832109,20.0
558085.3103906531,6122286.684401061,16.0
558085.2786525497,6122275.220681909,44.0
558085.3253155298,6122253.143820695,4.0
558085.6873470127,6122220.881489803,16.0
558085.4092786649,6122242.106184716,4.0
558085.5483129201,6122231.49383718,12.0
558085.3626169419,6122264.183045582,8.0
558086.1417535294,6122200.083672501,12.0
558086.1643856021,6122147.437695447,56.0
558086.2016943954,6122158.476918655,4.0
558086.0797200756,6122116.867784218,4.0
558085.94625111,6122127.055636188,12.0
558085.9650890505,6122107.101248788,8.0
558085.0015696997,6122097.323592609,8.0
558077.1553238231,6122117.600009908,4.0
558076.02100462,6122106.9709852785,12.0
558075.0685835758,6122096.344343745,8.0
558077.581613459,6122149.872661504,8.0
558077.7457717302,6122160.488979178,4.0
558077.7942213283,6122170.679214662,4.0
558077.7465429587,6122202.096527028,4.0
558078.0142120081,6122223.3283699425,4.0
558077.8193629488,6122191.907879586,4.0
558077.3975151698,6122265.776966831,8.0
558077.0215300763,6122275.961644092,4.0
558076.1316168737,6122297.602892465,4.0
558076.5737925137,6122286.994515149,4.0
558075.2472694586,6122318.819647687,28.0
558075.6288106124,6122308.210475751,24.0
558074.744466065,6122329.42723137,76.0
558074.1810327767,6122340.034021029,28.0
558072.99910103,6122360.822312818,36.0
558073.6231618039,6122350.216316935,44.0
558072.3199717317,6122371.003020754,72.0
558070.9505996705,6122392.213425337,40.0
558071.6352844767,6122381.608222917,36.0
